image_name,base_name,degradation,gt_path,pred_path,width,height,psnr,ssim,lpips,qalign_score
baboonx4.png,baboon,bicubic,./data/images/hr/baboon.png,./data/images/bicubic/baboonx4.png,500,480,20.32462,0.431628,0.631094,1.861328
barbarax4.png,barbara,bicubic,./data/images/hr/barbara.png,./data/images/bicubic/barbarax4.png,720,576,23.647604,0.66933,0.458838,2.082031
bridgex4.png,bridge,bicubic,./data/images/hr/bridge.png,./data/images/bicubic/bridgex4.png,512,512,23.154486,0.5802,0.612249,1.530273
coastguardx4.png,coastguard,bicubic,./data/images/hr/coastguard.png,./data/images/bicubic/coastguardx4.png,352,288,24.036879,0.50324,0.587842,1.492188
comicx4.png,comic,bicubic,./data/images/hr/comic.png,./data/images/bicubic/comicx4.png,250,361,19.167197,0.563377,0.501015,1.513672
facex4.png,face,bicubic,./data/images/hr/face.png,./data/images/bicubic/facex4.png,276,276,29.009885,0.704344,0.410156,1.322266
flowersx4.png,flowers,bicubic,./data/images/hr/flowers.png,./data/images/bicubic/flowersx4.png,500,362,23.025902,0.698372,0.41072,1.77832
foremanx4.png,foreman,bicubic,./data/images/hr/foreman.png,./data/images/bicubic/foremanx4.png,352,288,26.233482,0.844715,0.329766,1.6875
lennax4.png,lenna,bicubic,./data/images/hr/lenna.png,./data/images/bicubic/lennax4.png,512,512,28.490495,0.759582,0.345617,2.146484
manx4.png,man,bicubic,./data/images/hr/man.png,./data/images/bicubic/manx4.png,512,512,24.523743,0.676078,0.507931,1.931641
monarchx4.png,monarch,bicubic,./data/images/hr/monarch.png,./data/images/bicubic/monarchx4.png,768,512,26.458098,0.877868,0.294893,3.072266
pepperx4.png,pepper,bicubic,./data/images/hr/pepper.png,./data/images/bicubic/pepperx4.png,512,512,27.367483,0.764558,0.3247,2.136719
ppt3x4.png,ppt3,bicubic,./data/images/hr/ppt3.png,./data/images/bicubic/ppt3x4.png,529,656,20.229666,0.809223,0.327005,2.757812
zebrax4.png,zebra,bicubic,./data/images/hr/zebra.png,./data/images/bicubic/zebrax4.png,586,391,19.790033,0.543518,0.439716,2.023438
baboon.png,baboon,blur,./data/images/hr/baboon.png,./data/images/blur/baboon.png,500,480,20.933389,0.498478,0.546067,2.148438
barbara.png,barbara,blur,./data/images/hr/barbara.png,./data/images/blur/barbara.png,720,576,24.411225,0.724748,0.401402,2.177734
bridge.png,bridge,blur,./data/images/hr/bridge.png,./data/images/blur/bridge.png,512,512,24.088861,0.659245,0.510974,1.928711
coastguard.png,coastguard,blur,./data/images/hr/coastguard.png,./data/images/blur/coastguard.png,352,288,25.109577,0.602013,0.498632,1.850586
comic.png,comic,blur,./data/images/hr/comic.png,./data/images/blur/comic.png,250,361,21.391139,0.701154,0.408711,2.205078
