group,metric_x,metric_y,pearson,spearman,n
all,psnr_y,qalign_score,0.25302673190267805,0.2779393347751175,1312
all,ssim_y,qalign_score,0.486826652035589,0.5006352001915875,1312
all,lpips,qalign_score,-0.6636689385596863,-0.6699252776918875,1312
B100,psnr_y,qalign_score,0.3361850060297168,0.3052318791287358,400
B100,ssim_y,qalign_score,0.38130030012809013,0.37908746489710643,400
B100,lpips,qalign_score,-0.5486489228634864,-0.564249606449332,400
Manga109,psnr_y,qalign_score,0.5959866277509213,0.5191948963271972,436
Manga109,ssim_y,qalign_score,0.6864963350076018,0.5683769598547295,436
Manga109,lpips,qalign_score,-0.7661483641874538,-0.5981876867267307,436
Set14,psnr_y,qalign_score,0.32957919518354906,0.3237183868762817,56
Set14,ssim_y,qalign_score,0.6237375949139132,0.5880382775119617,56
Set14,lpips,qalign_score,-0.7810122721764277,-0.7796992481203008,56
Set5,psnr_y,qalign_score,0.466305045689684,0.12030075187969923,20
Set5,ssim_y,qalign_score,0.8379135377084777,0.6796992481203006,20
Set5,lpips,qalign_score,-0.7718041914501333,-0.6165413533834586,20
Urban100,psnr_y,qalign_score,0.39500008687051313,0.3708741492342273,400
Urban100,ssim_y,qalign_score,0.5969999349505778,0.5491638914137511,400
Urban100,lpips,qalign_score,-0.7655604287388175,-0.6792362103826389,400
