method,dataset,scale,image_name,base_name,hr_path,lr_path,pred_path,error,width,height,crop_border,psnr_rgb,ssim_rgb,psnr_y,ssim_y,lpips,qalign_score
MambaIR,B100,4,19021.png,19021,/root/autodl-tmp/imageSR/B100/HR/19021.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/19021x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/19021x4_MambaIR.png,,480,320,4,25.920050076971496,0.7570389776986524,27.282665146556624,0.7788636351858744,0.38226476311683655,3.7578125
MambaIR,B100,4,196073.png,196073,/root/autodl-tmp/imageSR/B100/HR/196073.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/196073x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/196073x4_MambaIR.png,,480,320,4,26.67226367856365,0.4727914851623067,27.9993829073551,0.5223616349848599,0.7613503932952881,2.61328125
MambaIR,B100,4,197017.png,197017,/root/autodl-tmp/imageSR/B100/HR/197017.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/197017x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/197017x4_MambaIR.png,,480,320,4,27.228431125611465,0.7218163979673489,28.56583803676287,0.7456978960557082,0.34877341985702515,2.962890625
MambaIR,B100,4,208001.png,208001,/root/autodl-tmp/imageSR/B100/HR/208001.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/208001x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/208001x4_MambaIR.png,,320,480,4,27.59830016974452,0.7509035449477303,28.8549969397658,0.7839215460504321,0.28154274821281433,3.76953125
MambaIR,B100,4,210088.png,210088,/root/autodl-tmp/imageSR/B100/HR/210088.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/210088x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/210088x4_MambaIR.png,,320,480,4,36.19823527397044,0.961929385570309,37.94817739562073,0.9717424659224526,0.04091358929872513,4.3671875
MambaIR,B100,4,21077.png,21077,/root/autodl-tmp/imageSR/B100/HR/21077.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/21077x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/21077x4_MambaIR.png,,480,320,4,26.139495318402844,0.7524932071527383,27.488672813958324,0.7813392576867629,0.3701760768890381,3.228515625
MambaIR,B100,4,216081.png,216081,/root/autodl-tmp/imageSR/B100/HR/216081.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/216081x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/216081x4_MambaIR.png,,480,320,4,25.02788940091612,0.7366113570889553,26.25411594953661,0.7633262716175003,0.32725998759269714,2.427734375
MambaIR,B100,4,219090.png,219090,/root/autodl-tmp/imageSR/B100/HR/219090.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/219090x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/219090x4_MambaIR.png,,480,320,4,25.930373293683324,0.7553139149060931,27.24431686651297,0.7820955335218918,0.3621370196342468,2.759765625
MambaIR,B100,4,220075.png,220075,/root/autodl-tmp/imageSR/B100/HR/220075.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/220075x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/220075x4_MambaIR.png,,480,320,4,27.28262931497891,0.8852889935772298,28.612468005490825,0.9003016921062488,0.1695917844772339,2.951171875
MambaIR,B100,4,223061.png,223061,/root/autodl-tmp/imageSR/B100/HR/223061.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/223061x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/223061x4_MambaIR.png,,480,320,4,24.19981423283115,0.7441273235952822,25.53344629544207,0.7583640868220355,0.25533854961395264,3.44921875
MambaIR,B100,4,227092.png,227092,/root/autodl-tmp/imageSR/B100/HR/227092.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/227092x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/227092x4_MambaIR.png,,320,480,4,33.64404729353284,0.8665073859089875,35.05151481629395,0.8831613012597254,0.22203069925308228,3.078125
MambaIR,B100,4,229036.png,229036,/root/autodl-tmp/imageSR/B100/HR/229036.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/229036x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/229036x4_MambaIR.png,,480,320,4,21.805228295947455,0.6531433583796721,23.129862249978697,0.6740725817090063,0.4216017723083496,2.578125
MambaIR,B100,4,236037.png,236037,/root/autodl-tmp/imageSR/B100/HR/236037.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/236037x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/236037x4_MambaIR.png,,480,320,4,23.76138953049084,0.6654038705293268,25.11655968936867,0.6800441599781194,0.44308170676231384,2.4765625
