dataset,scale,image_name,base_name,hr_path,lr_path,error,width,height,crop_border,psnr_rgb,ssim_rgb,psnr_y,ssim_y
Manga109,3,MoeruOnisan_vol19.png,moeruonisan_vol19,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/MoeruOnisan_vol19.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/MoeruOnisan_vol19_LRBI_x3.png,,826,1170,3,24.49281461517505,0.8432080060610154,25.68452875154591,0.8556129890294569
Manga109,3,MomoyamaHaikagura.png,momoyamahaikagura,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/MomoyamaHaikagura.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/MomoyamaHaikagura_LRBI_x3.png,,826,1170,3,20.900660739848682,0.6925381576661916,21.661487531453965,0.696003635266349
Manga109,3,MukoukizuNoChonbo.png,mukoukizunochonbo,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/MukoukizuNoChonbo.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/MukoukizuNoChonbo_LRBI_x3.png,,826,1170,3,26.00253242012259,0.9134306812077929,26.69065964764611,0.925944022327416
Manga109,3,MutekiBoukenSyakuma.png,mutekiboukensyakuma,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/MutekiBoukenSyakuma.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/MutekiBoukenSyakuma_LRBI_x3.png,,826,1170,3,24.872551490613905,0.8543331758506364,25.709347834479317,0.8813491976587396
Manga109,3,Nekodama.png,nekodama,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/Nekodama.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/Nekodama_LRBI_x3.png,,826,1170,3,23.876721946295163,0.8481095136809628,24.56772132866049,0.8652605329915046
Manga109,3,NichijouSoup.png,nichijousoup,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/NichijouSoup.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/NichijouSoup_LRBI_x3.png,,826,1170,3,26.973176945237824,0.90040510822138,27.866431855741492,0.913121952913955
Manga109,3,Ningyoushi.png,ningyoushi,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/Ningyoushi.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/Ningyoushi_LRBI_x3.png,,826,1170,3,28.200641063886547,0.8683996477030584,29.113358767739754,0.8801830939014871
Manga109,3,OL_Lunch.png,ol_lunch,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/OL_Lunch.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/OL_Lunch_LRBI_x3.png,,826,1170,3,20.141515369100876,0.8132199538063949,21.065425822357277,0.8197617226569426
Manga109,3,OhWareraRettouSeitokai.png,ohwarerarettouseitokai,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/OhWareraRettouSeitokai.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/OhWareraRettouSeitokai_LRBI_x3.png,,826,1170,3,25.49329851560199,0.8741657401822837,26.569966256661928,0.8868060461861588
Manga109,3,PLANET7.png,planet7,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/PLANET7.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/PLANET7_LRBI_x3.png,,826,1170,3,25.81920374107939,0.8383701580400666,26.560425288907794,0.8636996193923827
Manga109,3,ParaisoRoad.png,paraisoroad,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/ParaisoRoad.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/ParaisoRoad_LRBI_x3.png,,826,1170,3,24.990627457060995,0.8469857390971273,26.069748007819147,0.8627286904947117
Manga109,3,PikaruGenkiDesu.png,pikarugenkidesu,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/PikaruGenkiDesu.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/PikaruGenkiDesu_LRBI_x3.png,,826,1170,3,22.94287649484097,0.8119461583037904,23.656606031943905,0.8253854636738192
Manga109,3,PlatinumJungle.png,platinumjungle,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/PlatinumJungle.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/PlatinumJungle_LRBI_x3.png,,826,1170,3,23.76922201135399,0.838222764258271,24.591850395808873,0.8562161479441918
Manga109,3,PrayerHaNemurenai.png,prayerhanemurenai,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/PrayerHaNemurenai.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/PrayerHaNemurenai_LRBI_x3.png,,742,1072,3,24.587619863621665,0.6644211702615389,25.600808181026355,0.6659705254586461
Manga109,3,PrismHeart.png,prismheart,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/PrismHeart.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/PrismHeart_LRBI_x3.png,,826,1170,3,27.806688813816805,0.90172573175847,28.463164293134064,0.9158442976666912
