dataset,scale,image_name,base_name,hr_path,lr_path,error,width,height,crop_border,psnr_rgb,ssim_rgb,psnr_y,ssim_y,case_type
Set5,4,head.png,head,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/HR/head.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set5/LR_bicubic/X4/headx4.png,,280,280,4,28.89194783760007,0.7002535547759233,30.904007180845024,0.7559033665878306,lowest_ssim_y
Urban100,2,img092.png,img092,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img092.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X2/img092x2.png,,1024,692,2,17.686428648234582,0.656680246965742,18.298187461365444,0.6640397447656105,lowest_psnr_y
Urban100,2,img072.png,img072,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img072.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X2/img072x2.png,,683,1024,2,17.85243009509464,0.7925477953278989,18.464905043727,0.7965577093424128,lowest_psnr_y
Urban100,2,img095.png,img095,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img095.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X2/img095x2.png,,1024,768,2,20.074230501953586,0.6255311938545087,20.686705450585944,0.6299975973198538,lowest_ssim_y
Urban100,2,img063.png,img063,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img063.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X2/img063x2.png,,1000,980,2,21.126062760386205,0.6503069335753788,21.745872630259804,0.6618456771425213,lowest_ssim_y
Urban100,3,img072.png,img072,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img072.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X3/img072x3.png,,683,1024,3,15.060553527170574,0.6160400658139665,15.673028475802933,0.6233603404084467,lowest_psnr_y
Urban100,3,img092.png,img092,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img092.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X3/img092x3.png,,1024,692,3,15.462866162601973,0.47683162317986283,16.074256342178764,0.4863986752804432,lowest_psnr_y
Urban100,3,img063.png,img063,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img063.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X3/img063x3.png,,1000,980,3,16.503496423517646,0.4531899672475675,16.986895605435404,0.4737180699334406,lowest_ssim_y
Urban100,3,img095.png,img095,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img095.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X3/img095x3.png,,1024,768,3,18.136439589590942,0.403748788472531,18.748914538223296,0.4112745032430638,lowest_ssim_y
Urban100,4,img072.png,img072,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img072.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img072x4.png,,683,1024,4,13.885769647500531,0.4958447331860068,14.498244596132892,0.5048302506744015,lowest_psnr_y
Urban100,4,img011.png,img011,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img011.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img011x4.png,,567,1024,4,14.178798363997418,0.5295510234723981,14.791273312629778,0.5566170547309176,lowest_psnr_y
Urban100,4,img095.png,img095,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img095.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img095x4.png,,1024,768,4,17.414351967576525,0.28521446266718503,18.026826916208886,0.29417428098092036,lowest_ssim_y
Urban100,4,img098.png,img098,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img098.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img098x4.png,,1024,682,4,17.984031618978836,0.3669872860054229,18.68020302976352,0.3768392303504735,lowest_ssim_y
